ImgPath,Caption
/home/final_dataset/real/COCO/000000.jpg,A pizza with burned edges is sitting on the table.
/home/final_dataset/real/COCO/000001.jpg,A parked motorcycle sitting on a dirty road.
/home/final_dataset/real/COCO/000002.jpg,A group of people riding in the back of a truck.
/home/final_dataset/real/COCO/000003.jpg,A plate of cooked food in seen in this image.
/home/final_dataset/real/COCO/000004.jpg,A bus traveling down a street next to a tall building.
/home/final_dataset/real/COCO/000005.jpg,"A tray holding a sandwich and cappuccino, next to the pastry."
/home/final_dataset/real/COCO/000006.jpg,A shot of the blue water with people flying a kite.
/home/final_dataset/real/COCO/000007.jpg,A market display case filled with different colored vegetables.
/home/final_dataset/real/COCO/000008.jpg,A young man standing in front of a fence holding a skateboard.
/home/final_dataset/real/COCO/000009.jpg,A little boy wearing a baseball hat holding a baseball bat.
/home/final_dataset/real/COCO/000010.jpg,there are two cats that are laying with each other
/home/final_dataset/real/COCO/000011.jpg,A desert on a plate with a spoon on the side of the plate.
/home/final_dataset/real/COCO/000012.jpg,A man that is sitting in front of a laptop.
/home/final_dataset/real/COCO/000013.jpg,A group of people standing on a field playing disc golf.
/home/final_dataset/real/COCO/000014.jpg,A plate of bananas and sliced oranges covered in butterflies.
/home/final_dataset/real/COCO/000015.jpg,Altered photograph of a case full of paperback novels
/home/final_dataset/real/COCO/000016.jpg,A giraffe facing the camera as its photo is taken.
/home/final_dataset/real/COCO/000017.jpg,A man sits on a chair and plays video games.
/home/final_dataset/real/COCO/000018.jpg,A cow getting relief as it is being milked.
/home/final_dataset/real/COCO/000019.jpg,A cat is on papers on a computer desk.
/home/final_dataset/real/COCO/000020.jpg,A large white sheep next to a small black one
/home/final_dataset/real/COCO/000021.jpg,a hot dog on a plate next to two glasses.
/home/final_dataset/real/COCO/000022.jpg,A woman sitting on the couch with her laptop in the house.
/home/final_dataset/real/COCO/000023.jpg,a group of young people playing baseball in a field
/home/final_dataset/real/COCO/000024.jpg,Two men play a game with Wii remotes.
/home/final_dataset/real/COCO/000025.jpg,"MAN ON A CONTRAPTION, SURROUNDED BY A BICYCLE AND ANOTHER PERSON"
/home/final_dataset/real/COCO/000026.jpg,A couple of people at a table in a kitchen.
/home/final_dataset/real/COCO/000027.jpg,a plate with some vegetables and rice on a plate
/home/final_dataset/real/COCO/000028.jpg,Two people standing on a beach next to the ocean.
/home/final_dataset/real/COCO/000029.jpg,A girl in a jacket and boots with a black umbrella.
/home/final_dataset/real/COCO/000030.jpg,The woman wearing skis and a helmet is standing with skis and ski poles.
/home/final_dataset/real/COCO/000031.jpg,A dog is sitting on an unmade bed with pillows.
/home/final_dataset/real/COCO/000032.jpg,A grey and white cat laying in window sill next to a curtain.
/home/final_dataset/real/COCO/000033.jpg,A man climbing on a toilet bowl in a closet
/home/final_dataset/real/COCO/000034.jpg,a close up of a glass of wine on a table
/home/final_dataset/real/COCO/000035.jpg,An outdoor area with a large bear and two smaller bears facing the wooded tree area.
/home/final_dataset/real/COCO/000036.jpg,Creepy large doll heads laying in giant oversized fake beds.
/home/final_dataset/real/COCO/000037.jpg,A skateboarder is on top of a cement bowl.
/home/final_dataset/real/COCO/000038.jpg,A man standing next to a woman in a living room.
/home/final_dataset/real/COCO/000039.jpg,A very thick pizza is on a plate with one piece taken.
/home/final_dataset/real/COCO/000040.jpg,A man riding a skateboard up a wooden ramp.
/home/final_dataset/real/COCO/000041.jpg,A couple of plates topped with sloppy joes.
/home/final_dataset/real/COCO/000042.jpg,A little girl that is standing with an umbrella.
/home/final_dataset/real/COCO/000043.jpg,A young girl watches a laptop on a bed.
/home/final_dataset/real/COCO/000044.jpg,A bowl of broccoli with sauce over it.
/home/final_dataset/real/COCO/000045.jpg,four men playing frisbee in a fenced park
/home/final_dataset/real/COCO/000046.jpg,A group of airplanes floating over the ocean.
/home/final_dataset/real/COCO/000047.jpg,A blending mixer sitting on a kitchen counter.
/home/final_dataset/real/COCO/000048.jpg,A woman with glasses eating a piece of cake.
/home/final_dataset/real/COCO/000049.jpg,A cat sitting on top of a banana tree.
/home/final_dataset/real/COCO/000050.jpg,A picture of a person standing by a bicycle.
/home/final_dataset/real/COCO/000051.jpg,A man sits on the tires of a car that rests on the ground.
/home/final_dataset/real/COCO/000052.jpg,A group of people sitting around a table.
/home/final_dataset/real/COCO/000053.jpg,A floor filled with the contents of a woman's bag.
/home/final_dataset/real/COCO/000054.jpg,A bathroom that has been gutted with the shower basin the only thing left.
/home/final_dataset/real/COCO/000055.jpg,A toddler celebrates his birthday with a cupcake.
/home/final_dataset/real/COCO/000056.jpg,A tennis player shows controlled excitement while a crowd watches.
/home/final_dataset/real/COCO/000057.jpg,A herd of elephants walking down a river with people riding on their backs.
/home/final_dataset/real/COCO/000058.jpg,A cat sleeping with its head resting on a sneaker.
/home/final_dataset/real/COCO/000059.jpg,A street corner with a brown and white building on it.
/home/final_dataset/real/COCO/000060.jpg,A worn and a new sign for the same Mexican food restaurant.
/home/final_dataset/real/COCO/000061.jpg,A red and yellow bus parked in front of a tall building.
/home/final_dataset/real/COCO/000062.jpg,A woman that is standing up in the grass.
/home/final_dataset/real/COCO/000063.jpg,A person is trying to ski down a snowy slope.
/home/final_dataset/real/COCO/000064.jpg,A white horse drawn carriage in front of a yellow building.
/home/final_dataset/real/COCO/000065.jpg,Three giraffes standing up in a field eating leaves off of trees.
/home/final_dataset/real/COCO/000066.jpg,A bird perched on top of a tree filled with leaves.
/home/final_dataset/real/COCO/000067.jpg,Three bowls filled with vegetables on top of a table.
/home/final_dataset/real/COCO/000068.jpg,Large clock tower sitting in front of a park.
/home/final_dataset/real/COCO/000069.jpg,A woman talking on the phone in front of a person selling apples.
/home/final_dataset/real/COCO/000070.jpg,There is a room with rose wallpaper and a large bed.
/home/final_dataset/real/COCO/000071.jpg,A person standing in shore of beach with a frisbee in the sky.
/home/final_dataset/real/COCO/000072.jpg,A city street filled with lots of traffic and people.
/home/final_dataset/real/COCO/000073.jpg,A wooden wagon with wheels topped with bunches of bananas.
/home/final_dataset/real/COCO/000074.jpg,A plate of food being heated in a microwave.
/home/final_dataset/real/COCO/000075.jpg,A baby girl chews on a stick with a teddy bear in hand.
/home/final_dataset/real/COCO/000076.jpg,A small bird standing on a rocky ground.
/home/final_dataset/real/COCO/000077.jpg,A small herd of buffalo resting on the ither side of the stream.
/home/final_dataset/real/COCO/000078.jpg,The browned cracked crust of a baked berry pie.
/home/final_dataset/real/COCO/000079.jpg,A person sitting down with a tennis racket.
/home/final_dataset/real/COCO/000080.jpg,Donald Duck talking to Minney Mouse at Disney World at Christmas.
/home/final_dataset/real/COCO/000081.jpg,Two dogs in the backyard with blowup toys.
/home/final_dataset/real/COCO/000082.jpg,A train that is going through a city.
/home/final_dataset/real/COCO/000083.jpg,a pink clock tower rises above a tree line
/home/final_dataset/real/COCO/000084.jpg,"Many birds fly around, above an empty beach"
/home/final_dataset/real/COCO/000085.jpg,A group of people standing around sheep on a field.
/home/final_dataset/real/COCO/000086.jpg,some people holding wii tennis motes as they look at a screen
/home/final_dataset/real/COCO/000087.jpg,The clock is on display on the side of the building outside.
/home/final_dataset/real/COCO/000088.jpg,Someone has crawled under the plane to check that everything is operational.
/home/final_dataset/real/COCO/000089.jpg,A man and woman standing over a dinner table with a cake.
/home/final_dataset/real/COCO/000090.jpg,A living room filled with furniture and a book shelf filled with books.
/home/final_dataset/real/COCO/000091.jpg,a person riding a wake board on a body of water
/home/final_dataset/real/COCO/000092.jpg,A motorcycle is parked in a parking lot.
/home/final_dataset/real/COCO/000093.jpg,A burrito sitting on top of a white plate.
/home/final_dataset/real/COCO/000094.jpg,Two zebras are standing together next to the fence.
/home/final_dataset/real/COCO/000095.jpg,A zebra chews a flower in a fenced in field.
/home/final_dataset/real/COCO/000096.jpg,Multiple plates of different types of food on a  table.
/home/final_dataset/real/COCO/000097.jpg,A white passenger train passing a parking lot at night.
/home/final_dataset/real/COCO/000098.jpg,A skateboarder performing a trick on a skateboard.
