ImgPath,Caption
/home/final_dataset/real/Scene/LSUN_classroom/image_05784.png,"The classroom is filled with a variety of tables and chairs, neatly arranged in a U-shape formation. The tables are covered with books and school supplies, indicating an active learning environment. The walls are adorned with colorful posters and maps, adding a lively touch to the space. The room is well-lit, with soft lighting that creates a comfortable atmosphere for learning."
/home/final_dataset/real/Scene/LSUN_classroom/image_10395.png,"A classroom scene with a long table in the center, surrounded by chairs. On the table, there are several books, a laptop, and a cup. The walls are painted yellow and there are multiple storage cabinets in the background. The lighting is bright and natural."
/home/final_dataset/real/Scene/LSUN_classroom/image_01904.png,"A classroom scene with rows of desks, chairs, and a whiteboard on the wall. The room is painted tan and has fluorescent lighting. There are several books, water bottles, and a clock on the desks. The layout is organized and functional, with a clear view of the whiteboard from every seat."
/home/final_dataset/real/Scene/LSUN_classroom/image_06634.png,"A classroom scene with typical elements such as desks, chairs, and a whiteboard. The walls are painted blue and white, and there are several books scattered around. The lighting is bright, and the layout is organized with students seated at desks."
/home/final_dataset/real/Scene/LSUN_classroom/image_09623.png,"A classroom scene with a wooden table in the center, surrounded by multiple chairs. On the table, there are books, a pencil case, and a yellow folder. The walls are painted in a warm color, and the room is well-lit. The layout is organized and functional, with a clear path from the entrance to the exit."
/home/final_dataset/real/Scene/LSUN_classroom/image_07685.png,"A classroom scene with a whiteboard on the wall, a bookshelf filled with books, desks arranged in a semi-circle, and students sitting at the desks, working on their classwork. The room is filled with light and has a bright, colorful atmosphere."
/home/final_dataset/real/Scene/LSUN_classroom/image_03528.png,"A classroom scene with a blackboard at the front, desks arranged in rows, and multiple chairs. The walls are painted blue, and the lighting is dim. There are several books placed on the desks, along with a model of an atom and a pen. The room is occupied by a few students, who are focused on their work."
/home/final_dataset/real/Scene/LSUN_classroom/image_06199.png,"A classroom scene with a long table lined with students, each painting on a paper. The table is surrounded by multiple chairs and a TV is mounted on the wall. The room is filled with various art supplies, including multiple bottles, cups, and brushes. The walls are painted in white and blue, and there are colorful paintings on display. The lighting is bright and the overall atmosphere is lively."
/home/final_dataset/real/Scene/LSUN_classroom/image_10922.png,"A classroom scene with a blackboard at the center, surrounded by desks and chairs. The walls are painted green and blue, and there are posters on the wall. The lighting is dim, creating a cozy atmosphere."
/home/final_dataset/real/Scene/LSUN_classroom/image_10934.png,"A classroom scene with rows of desks, chairs, and a teacher's desk at the front. The walls are painted a deep red, and there are large windows that allow natural light to enter the room. The layout is organized and efficient, with the desks arranged in neat rows. The colors are warm and inviting, creating a comfortable learning environment. The lighting is well-lit, with overhead lights and natural light from the windows."
/home/final_dataset/real/Scene/LSUN_classroom/image_00226.png,"A classroom scene with rows of desks and chairs, each equipped with a wooden desk and a chair. The desks are arranged in neat rows, and the chairs are black and grey. The walls are painted white, and there is a chalkboard at the front of the room. The room is well-lit, with soft lighting that illuminates the space."
/home/final_dataset/real/Scene/LSUN_classroom/image_05151.png,"A classroom scene with a whiteboard, a clock, and a bulletin board. The layout features desks and chairs arranged in front of the whiteboard. The colors are bright and lively, with red, green, and blue items visible. The lighting is well-lit, creating a comfortable atmosphere."
/home/final_dataset/real/Scene/LSUN_classroom/image_10258.png,"A classroom with rows of desks and chairs, arranged in front of large windows. The walls are a muted grey color, and the room is dimly lit. The chairs are made of metal and have wooden seats. The desks are made of wood and have metal legs. The layout is traditional, with the teacher's desk at the front of the room."
/home/final_dataset/real/Scene/LSUN_classroom/image_11106.png,"A classroom scene with a blackboard, desks, chairs, and a teacher's desk. The walls are painted in white and black. The classroom is well lit with natural light. The teacher is wearing a pink scarf and is standing near the blackboard. The students are seated at desks and are engaged in their work."
/home/final_dataset/real/Scene/LSUN_classroom/image_02879.png,"A classroom scene with white walls, a bulletin board on the left wall, a window on the right wall, and a row of desks and chairs. The desks are white and the chairs are black. The lighting is bright."
/home/final_dataset/real/Scene/LSUN_classroom/image_02595.png,"A classroom with children sitting on the floor and on chairs, facing the teacher who is standing in front of them. The teacher is wearing a green jacket and a fireman's suit. The classroom is brightly lit and colorful, with various toys and books scattered around."
/home/final_dataset/real/Scene/LSUN_classroom/image_06012.png,"A classroom scene with a teacher and a group of students. The room features a TV, a map, and a bulletin board. The layout consists of desks and chairs arranged in a semi-circle. The walls are painted green and white. The lighting is bright, with sunlight coming through the windows."
/home/final_dataset/real/Scene/LSUN_classroom/000067.png,"A classroom scene with students seated at desks, a teacher at the front of the room, and a whiteboard on the wall. The room is filled with natural light and has a colorful layout, with red, blue, and yellow accents."
/home/final_dataset/real/Scene/LSUN_classroom/image_08225.png,"A classroom scene with wooden desks and chairs, arranged in a semi-circle. The walls are painted blue, and there are bookshelves along one wall, filled with books. The lighting is dim, casting a warm glow over the space."
/home/final_dataset/real/Scene/LSUN_classroom/image_11249.png,"The classroom is filled with rows of desks and chairs, all facing a large chalkboard. The walls are adorned with maps and posters, giving the room a sense of purpose and history. The floor is cracked and worn, reflecting the passage of time. The lighting is dim, casting a warm glow over the space."
/home/final_dataset/real/Scene/LSUN_classroom/image_09131.png,"A classroom scene with a green chalkboard, a teacher's desk, desks and chairs for students, and a whiteboard. The walls are painted in a soft yellow color. The lighting is warm and inviting, casting a pleasant glow on the room."
/home/final_dataset/real/Scene/LSUN_classroom/image_02810.png,"A classroom scene with a mix of students and desks, with a total of 14 students. The desks are arranged in a semi-circle, with each student seated at a desk with a chair. The room features a whiteboard on the wall and a clock on the ceiling. The lighting is bright, casting shadows on the students."
/home/final_dataset/real/Scene/LSUN_classroom/image_00806.png,"A classroom scene with a teacher at the front of the room, surrounded by rows of desks. The walls are painted blue and there are posters on the wall. The lighting is bright and the room is filled with students sitting at their desks, some writing in notebooks."
/home/final_dataset/real/Scene/LSUN_classroom/image_06134.png,"A classroom scene with a teacher at the front of the room, surrounded by students seated on the floor and on chairs. The room features a whiteboard, a TV, and various colorful decorations. The lighting is bright, casting a warm glow on the students and teacher."
/home/final_dataset/real/Scene/LSUN_classroom/image_03444.png,"A classroom scene with rows of desks, chairs, and a blackboard. The layout is traditional, with students seated in their desks, facing the blackboard. The colors are predominantly white, with the students dressed in white shirts. The lighting is bright, illuminating the room."
