ImgPath,Caption
/home/final_dataset/real/HumanFace/celebahq/04775.png,"A man with gray hair and beard, blue eyes, and a receding hairline. He has a receding hairline, a few wrinkles around his eyes, and a few lines on his cheeks. His eyes are blue, his eyebrows are gray, and his eyelashes are long. His nose is straight and narrow, and his lips are thin. He is wearing a gray suit and a blue tie."
/home/final_dataset/real/HumanFace/celebahq/14676.png,"A close-up of a young man with blue eyes, a straight nose, and a slight smile. He has a full head of brown hair with a few strands of grey."
/home/final_dataset/real/HumanFace/celebahq/06269.png,A close up of actress Shannen Doherty's face. She has curly brown hair and blue eyes. Her eyebrows are arched and she has full lips. Her nose is straight and her skin is smooth. She is smiling slightly.
/home/final_dataset/real/HumanFace/celebahq/14916.png,"A close-up of a bald man with a receding hairline, green eyes, and a slight smile. He has a few wrinkles around his eyes and mouth, and his skin is smooth with a few small blemishes."
/home/final_dataset/real/HumanFace/celebahq/24137.png,"A woman with dark skin and hair pulled back, smiling at the camera. Her eyes are brown, her eyebrows arched, her nose straight, her lips full with white teeth. She wears earrings and a necklace."
/home/final_dataset/real/HumanFace/celebahq/06647.png,"A middle-aged man with greying hair and a receding hairline, wearing a black suit and tie. His eyes are a deep brown, with thick eyebrows and long eyelashes. His nose is straight and narrow, with a slightly flared nostrils. His mouth is thin, with lips that are slightly parted. His teeth are white and straight, and his jaw is square. His skin is smooth and tanned, with a few wrinkles around his eyes and mouth. He is looking to the right of the camera, with a serious expression on his face."
/home/final_dataset/real/HumanFace/celebahq/19304.png,"A close-up of a woman with dark hair and a brown coat. She has a neutral expression, with a slight frown, and her eyes are a mix of green and brown. Her nose is straight and her lips are full and pink. Her skin is smooth and her hair is straight and hangs to her shoulders."
/home/final_dataset/real/HumanFace/celebahq/13889.png,A close up of a woman's face with dark hair and brown eyes. She is smiling with her teeth showing and her lips are slightly parted. Her eyebrows are arched and her skin is smooth with a light pink tint.
/home/final_dataset/real/HumanFace/celebahq/10658.png,"A woman with long brown hair, green eyes, and a serious expression. Her eyebrows are arched and her lips are thin. Her skin is smooth and her nose is straight."
/home/final_dataset/real/HumanFace/celebahq/20249.png,"Close-up of Angela Lansbury's face. She has white hair, blue eyes, and red lipstick. Her face is round with a prominent nose and a slight smile. Her eyebrows are arched and her cheeks are rosy."
/home/final_dataset/real/HumanFace/celebahq/20784.png,"A man with long hair and blue eyes, his mouth is closed, and he has a slight frown."
/home/final_dataset/real/HumanFace/celebahq/02201.png,"Close-up of a woman with blonde hair, blue eyes, and fair skin. She is wearing a fur coat and large earrings. Her smile shows slightly yellowed teeth."
/home/final_dataset/real/HumanFace/celebahq/08470.png,Zlatan Ibrahimovic is a professional soccer player with a beard and a mustache. He has a receding hairline and his eyebrows are bushy. His eyes are brown and his skin is tan. He has a double chin and his lips are thin. He has a few wrinkles around his mouth.
/home/final_dataset/real/HumanFace/celebahq/13653.png,"Actor, Jai Courtney, with dark hair, blue eyes, and stubble on his face. He is wearing a black suit and a silver tie."
/home/final_dataset/real/HumanFace/celebahq/27088.png,"Kenny G is a white man with curly brown hair, bushy eyebrows, and a prominent nose. He has a slight smile and a few wrinkles around his eyes."
/home/final_dataset/real/HumanFace/celebahq/18243.png,"A woman with red lipstick, blue eyes, and brown hair looks upwards. Her nose is straight and her lips are full. Her eyebrows are arched and her skin is smooth."
/home/final_dataset/real/HumanFace/celebahq/23925.png,"A close-up of Shannen Doherty's face. She has long, black hair and bangs, blue eyes, a nose ring, and a slight smile. Her skin is smooth and has a few freckles."
/home/final_dataset/real/HumanFace/celebahq/02942.png,"A close up of a man with a full head of dark hair, green eyes, and a black coat."
/home/final_dataset/real/HumanFace/celebahq/23974.png,"A woman with blonde hair and blue eyes, smiling with her teeth white and straight. Her nose is straight and her lips are pink and full. Her eyebrows are arched and her cheeks are rosy."
/home/final_dataset/real/HumanFace/celebahq/03277.png,"A woman with blonde hair, blue eyes, and a white shirt. She has a smile on her face and her eyes are open. Her hair is shoulder length and blonde."
/home/final_dataset/real/HumanFace/celebahq/28784.png,"Close-up of a woman with short, brown hair, brown eyes, and brown lipstick. Her skin is smooth and has a few wrinkles. Her eyebrows are arched and her eyelashes are long. Her nose is straight and her lips are slightly parted. Her teeth are white and her jaw is square."
/home/final_dataset/real/HumanFace/celebahq/28717.png,A close up of a woman's face with brown hair and blue eyes. She is smiling and wearing gold hoop earrings.
/home/final_dataset/real/HumanFace/celebahq/24129.png,"The man has blonde hair and blue eyes. He has a wide smile with white teeth and a small dimple on his left cheek. His nose is straight and narrow, and his lips are full and pink. He has a stubble on his jawline and a mole above his lip."
/home/final_dataset/real/HumanFace/celebahq/21892.png,"Close-up of a woman with blonde hair, blue eyes, and a slight smile. Her nose is straight and her lips are pink. She is wearing gold earrings."
/home/final_dataset/real/HumanFace/celebahq/27971.png,"A close-up of a young man with dark hair, brown eyes, and a slight smile. He has a button nose and full lips, and his ears are sticking out. His skin is smooth and has a few freckles."
/home/final_dataset/real/HumanFace/celebahq/05269.png,"A woman with dark hair, wearing a tiara and a veil, looks pensively to the side. Her lips are a deep shade of pink, and her eyes are a mix of brown and grey. Her skin is smooth and her eyebrows are arched."
/home/final_dataset/real/HumanFace/celebahq/13033.png,"A blonde woman with blue eyes, pink lips, and a nose ring. Her eyebrows are arched and her lips are parted. She has long blonde hair and is wearing a white tank top."
/home/final_dataset/real/HumanFace/celebahq/02349.png,"A close-up of a woman's face with blonde hair tied back. She has blue eyes, a small nose, and full lips. Her skin is smooth and slightly tan. She looks off to the side with a thoughtful expression."
/home/final_dataset/real/HumanFace/celebahq/05167.png,A close-up of a woman's face with dark hair and green eyes. She has a slight smile and her eyes are focused on the camera.
/home/final_dataset/real/HumanFace/celebahq/09712.png,"A woman with long black hair and a slight smile. Her eyes are closed, and she has smoky eye makeup. Her nose is straight and her lips are slightly parted. Her skin is smooth and has a warm pink tone."
/home/final_dataset/real/HumanFace/celebahq/05910.png,"Joe Manganiello is a 44 year old actor. He has a full beard and mustache, and his hair is slicked back. He has piercing brown eyes and a high nose bridge. His lips are thin and his jawline is square. He has a few wrinkles around his eyes and mouth."
/home/final_dataset/real/HumanFace/celebahq/29948.png,"A man with a brown hat and brown fur around his face, smiling with his eyes closed."
/home/final_dataset/real/HumanFace/celebahq/12175.png,"A close-up of a woman's face with light brown hair, blue eyes, and fair skin. She has a small nose, slightly upturned corners of her mouth, and her eyebrows are arched. Her hair is long and wavy, and she is wearing a purple lipstick."
/home/final_dataset/real/HumanFace/celebahq/03988.png,The man has a square jawline and deep-set eyes. He has a receding hairline and a smile with crooked teeth.
/home/final_dataset/real/HumanFace/celebahq/09688.png,"Sonam Kapoor is an Indian actress who appears in Hindi films. She is the daughter of Anil Kapoor and Sunita Kapoor. She made her acting debut in 2007 with the film ""Raanjhanaa"" and has since appeared in successful films such as ""Delhi-6"", ""My Name Is Khan"", and ""Bhaag Milkha Bhaag"". She has received several awards and nominations for her performances."
/home/final_dataset/real/HumanFace/celebahq/02162.png,"A woman with brown hair, blue eyes, and pink lips. Her nose is straight and her eyebrows are arched. Her skin is smooth and her hair is dark brown. She is wearing a black top."
/home/final_dataset/real/HumanFace/celebahq/06843.png,"A close up of a woman's face with blonde hair, blue eyes, and fair skin. She is smiling and has her hair up."
/home/final_dataset/real/HumanFace/celebahq/16428.png,"A woman with blonde hair, blue eyes, and a pink shirt. Her nose is straight and her lips are pink."
/home/final_dataset/real/HumanFace/celebahq/21925.png,"A woman with braids, large hoop earrings, and a tan shirt. Her eyes are brown and she has a slight frown on her lips. Her nose is straight and her skin is brown with some wrinkles."
/home/final_dataset/real/HumanFace/celebahq/25427.png,"A man with dark hair, wearing sunglasses and a white shirt, looks directly into the camera. His mouth is closed, his teeth are white, and his lips are pink. His eyebrows are arched and his eyes are dark. The skin around his mouth and nose is pink and his ears are pink with dark hair."
/home/final_dataset/real/HumanFace/celebahq/07018.png,"A man with a black shirt and black hair, he has a black earring in his left ear. He has a small smile and his eyes are open."
/home/final_dataset/real/HumanFace/celebahq/20545.png,"Walter White, a middle-aged man with a bald head and a beard, has piercing blue eyes and a receding hairline. He has a prominent nose and a slight smile that reveals his yellow teeth."
/home/final_dataset/real/HumanFace/celebahq/08064.png,"Fringed brunette: actress Rashida Jones, wearing a deep red lipstick and emerald earrings, has a straight, slightly wavy hair with bangs. Her face is oval-shaped, with a small nose, full lips, and wide-set eyes. Her skin is smooth and her hair is neatly styled."
/home/final_dataset/real/HumanFace/celebahq/22237.png,"A man with a receding hairline, wearing sunglasses and a jacket, looks directly at the camera with a serious expression."
/home/final_dataset/real/HumanFace/celebahq/07528.png,"A man with a bald head, wearing glasses, a striped shirt, and a black suit with a blue tie. He has a slight smile on his lips and his eyes are focused on the camera."
/home/final_dataset/real/HumanFace/celebahq/22501.png,"A man with short brown hair, brown eyes, and a receding hairline. He has a small nose and thin lips. His eyebrows are thin and arched. He has a double chin and some wrinkles around his mouth. He is wearing a black shirt."
/home/final_dataset/real/HumanFace/celebahq/15624.png,Dave Chappelle is a bald African American male with a goatee. He is wearing a black shirt and looking directly at the camera.
/home/final_dataset/real/HumanFace/celebahq/27700.png,"Darren Criss has a heart-shaped face with prominent cheekbones, a straight nose, and a wide smile that shows his straight white teeth. His eyes are a deep brown, and his brown hair is styled in a wavy bob."
/home/final_dataset/real/HumanFace/celebahq/09451.png,"A man with dark hair, wearing a hat, smiling at the camera. His eyes are brown, his nose is straight, his lips are pink, and he has small earrings. His skin is brown and he has a dimple on his left cheek."
/home/final_dataset/real/HumanFace/celebahq/11242.png,"A woman with a light brown skin tone, with her hand touching her face. She has a round face with small eyes, a small nose, and a small mouth. Her skin is smooth and has a slight shimmer. She has dark hair tied in a bun."
/home/final_dataset/real/HumanFace/celebahq/20123.png,"Close-up of a smiling woman with dark brown hair, brown eyes, and pink lipstick. She has a small nose and full lips. Her ears are adorned with large gold earrings. Her skin is smooth and her hair is wavy."
/home/final_dataset/real/HumanFace/celebahq/29769.png,"A woman with short red hair, blue eyes, and a tan jacket. Her nose is straight and her lips are thin. Her eyebrows are arched and her cheeks are rosy."
/home/final_dataset/real/HumanFace/celebahq/24101.png,"A woman with blonde hair, smiling with her eyes closed."
/home/final_dataset/real/HumanFace/celebahq/09507.png,A close up of a woman's face with red hair and blue eyes. She has a small nose and a wide smile with white teeth. Her face is covered in freckles and she has a mole above her lip.
/home/final_dataset/real/HumanFace/celebahq/20098.png,"A woman with long, red hair and blue eyes. Her nose is straight and her lips are full. Her face is well shaped and her skin is smooth."
/home/final_dataset/real/HumanFace/celebahq/16804.png,"A woman with blonde hair and bangs, blue eyes, and a pink bikini top. She has a tan and her hair is curled."
/home/final_dataset/real/HumanFace/celebahq/25610.png,"A man with dark hair, brown eyes, and a goatee, wearing a white shirt with a black collar. He has a slight smile and his hand is resting on his chin."
/home/final_dataset/real/HumanFace/celebahq/28226.png,"A headshot of actress Elizabeth Mitchell with blonde hair and blue eyes. She is smiling with her teeth showing, and her eyes are slightly open. Her eyebrows are arched and her cheeks are slightly flushed. Her lips are slightly parted and her teeth are white. Her nose is straight and her skin is smooth."
/home/final_dataset/real/HumanFace/celebahq/16102.png,"A woman with blonde hair and a bob cut, wearing a white shirt. She has brown eyes, a small nose, and a slight smile. Her skin is smooth and her hair is styled to one side."
/home/final_dataset/real/HumanFace/celebahq/26905.png,"A woman with long, light brown hair and blue eyes smiles at the camera. Her nose is straight and her lips are slightly parted. Her teeth are white and her skin is smooth."
/home/final_dataset/real/HumanFace/celebahq/23242.png,"A woman with blonde hair and blue eyes, smiling and looking at the camera. Her nose is straight and her lips are full. Her skin is smooth and her teeth are white."
/home/final_dataset/real/HumanFace/celebahq/18360.png,"An older man with a receding hairline, wearing a black cowboy hat and a white jacket with a red shirt underneath. He has a few wrinkles around his eyes and mouth, and his skin is a bit sallow."
/home/final_dataset/real/HumanFace/celebahq/29587.png,"A man with long curly brown hair, brown eyes, and a small smile. He has a sharp nose and a few wrinkles around his eyes. His skin is smooth and brown."
/home/final_dataset/real/HumanFace/celebahq/10866.png,The man in the image has a beard and curly hair. He has blue eyes and a receding hairline. His nose is straight and his lips are thin. His eyebrows are bushy and his ears are large. He has a few wrinkles around his eyes and mouth.
/home/final_dataset/real/HumanFace/celebahq/09356.png,"A close-up of a man with buzzed hair, red eyes, and a blue shirt. His nose is straight and his mouth is thin. He has a double chin and his ears are large and protruding."
/home/final_dataset/real/HumanFace/celebahq/23054.png,The man has a full head of dark hair and is wearing a white shirt. He has a pointy nose and his lips are slightly parted. He has a dimple in his left cheek.
/home/final_dataset/real/HumanFace/celebahq/20648.png,"The face of the woman in the image is shown, with a prominent nose and full lips. Her eyes are a deep brown color and are slightly smoky. Her eyebrows are arched and full. Her hair is a dark brown color and is styled in a wavy bob."
/home/final_dataset/real/HumanFace/celebahq/16609.png,"A woman with short hair, dark eyes, and a slight smile. Her nose is straight and her lips are thin. Her skin is smooth and her hair is curled."
/home/final_dataset/real/HumanFace/celebahq/04486.png,"A woman with long brown hair, blue eyes, and a small nose. Her lips are pink and her eyebrows are arched."
/home/final_dataset/real/HumanFace/celebahq/09617.png,"The face of the female doll has long, straight blonde hair and blue eyes. Her eyebrows are arched, and her eyelashes are long. Her nose is straight and her lips are slightly parted. The skin is smooth and has a natural color."
/home/final_dataset/real/HumanFace/celebahq/03664.png,"Close-up of Abigail Breslin smiling, wearing a green dress with a high ponytail and pearl earrings. Her face is lightly made up with brown eyeshadow and nude lipstick, and she has a slight tan. Her eyes are brown, with long, dark lashes, and her eyebrows are arched. Her nose is straight and narrow, and her lips are full and pink. Her teeth are white and her skin is smooth and clear."
/home/final_dataset/real/HumanFace/celebahq/13281.png,"A bald man with a shaved head and a gray scarf around his neck. He has a receding hairline and a few strands of hair are visible on his temples. His eyebrows are thin and arched. His eyes are brown and deep-set, with long eyelashes. His nose is wide and flat, with a slightly upturned tip. His lips are thin and pink. He has a dimple on his left cheek."
/home/final_dataset/real/HumanFace/celebahq/10412.png,"A close-up of a smiling man with long, wavy brown hair. He has a double chin, large eyes, a wide nose, and a small mouth. His teeth are white and he has a receding hairline."
/home/final_dataset/real/HumanFace/celebahq/08077.png,A close up of a woman's face with a short haircut and red lipstick. Her eyes are a light brown color and she has a slight frown. Her nose is straight and her lips are full. Her skin is smooth and her hair is a dark brown color.
/home/final_dataset/real/HumanFace/celebahq/27134.png,"A woman with long, dark hair and bangs, brown eyes, and fair skin. Her nose is straight and her lips are pink. She has a slight smile and her chin is resting on her fist."
/home/final_dataset/real/HumanFace/celebahq/17008.png,"A headshot of a young woman with brown hair pulled back. She has blue eyes and is smiling. Her teeth are white and her lips are pink. She has a diamond-shaped face with a high forehead, straight nose, and small chin. Her ears are pierced and she is wearing a red scarf and a black beaded necklace."
/home/final_dataset/real/HumanFace/celebahq/12049.png,"A woman with a short blonde bob, bold brows, and blue eyes. Her skin is smooth and tan, with a light freckle pattern. She is wearing a red choker with gold details. Her lips are a muted pink, and her eyebrows are arched. Her ears are small and pierced. Her eyes are a deep blue with a hint of grey."
/home/final_dataset/real/HumanFace/celebahq/07172.png,"A woman with dark hair, brown eyes, and a neutral expression. Her lips are slightly parted, and she has a small mole above her upper lip. Her nose is straight and slightly upturned at the tip. Her skin is smooth and has a warm, healthy glow."
/home/final_dataset/real/HumanFace/celebahq/20129.png,"The man has a square jawline, blue eyes, and a slight smile on his lips. He has short brown hair and a stubble on his face."
/home/final_dataset/real/HumanFace/celebahq/00570.png,"A close-up of a man with dark hair, a beard, and a mustache. He has brown eyes and a small nose. His mouth is closed, showing pink lips. He is wearing a blue jacket."
/home/final_dataset/real/HumanFace/celebahq/28880.png,"A woman with blonde hair, blue eyes, and fair skin. She is smiling with her eyes closed, showing her white teeth. Her nose is straight and narrow, her lips are full and pink, and her ears are small and protruding. Her hair is shoulder-length and straight, and her skin is smooth and wrinkle-free."
/home/final_dataset/real/HumanFace/celebahq/22264.png,"A woman with long brown hair, brown eyes, and a straight nose. Her lips are slightly parted and she has a slight smile. Her skin is smooth and her hair is shiny."
/home/final_dataset/real/HumanFace/celebahq/17675.png,"A close-up of a woman with blonde hair, blue eyes, and fair skin. She has a slightly smiling expression with her teeth slightly showing, and her eyebrows are arched slightly upwards. Her nose is straight and narrow, her lips are slightly parted with a slight smile, and her ears are small and protruding slightly from her head."
/home/final_dataset/real/HumanFace/celebahq/09262.png,"A man with dark hair and a necklace poses for a photo. He has a strong jawline and a slight smile, with his eyes looking to the right."
/home/final_dataset/real/HumanFace/celebahq/22250.png,"A close-up of a woman with blonde hair, smiling with her eyes closed. Her hair is styled in a short bob, and she has a round face with a small nose and wide-set eyes. Her skin is fair and smooth, and her lips are full and pink. She has rosy cheeks and her eyes are closed in a smile."
/home/final_dataset/real/HumanFace/celebahq/11610.png,"A close up of a woman's face with black hair and red lipstick. Her eyes are almond-shaped and brown, her eyebrows are arched and brown, her nose is straight and narrow, her lips are full and red, and her skin is smooth and tan. Her face is tilted slightly to the side and she is looking straight ahead."
/home/final_dataset/real/HumanFace/celebahq/19266.png,"A close-up of a young man with dark curly hair, brown eyes, and a button nose. He has a slight frown and his lips are slightly parted."
