ImgPath,Label,Caption
/home/ImageNet1k/n03617480/ILSVRC2012_val_00023609.JPEG,kimono,"A geisha in a purple kimono with white makeup and red lips, performing in a brown room."
/home/ImageNet1k/n02979186/ILSVRC2012_val_00024874.JPEG,cassette player,"The image features two white cassette players on a blue background. They have two speakers each and a remote control. One of the players is in the foreground, while the other is in the background. The mood is nostalgic, reminiscent of a bygone era when cassette players were popular."
/home/ImageNet1k/n01630670/ILSVRC2012_val_00040174.JPEG,"common newt, Triturus vulgaris","A common newt, Triturus vulgaris, sits on a mossy surface. Its body is a deep reddish-brown with lighter stripes down its back and tail. Its eyes are black and its skin is moist. The newt appears to be relaxed and is surrounded by green moss."
/home/ImageNet1k/n02398521/ILSVRC2012_val_00030665.JPEG,"hippopotamus, hippo, river horse, Hippopotamus amphibius",A hippopotamus partially submerged in a pool of water.
/home/ImageNet1k/n01910747/ILSVRC2012_val_00010869.JPEG,jellyfish,"A white jellyfish floating in the water near the shore. The water is calm and still, with small ripples in the distance. The sky is a pale blue color, and the sun is shining brightly. The mood is serene and peaceful."
/home/ImageNet1k/n03131574/ILSVRC2012_val_00015227.JPEG,"crib, cot",A crib with a blue and white blanket and a brown teddy bear pattern.
/home/ImageNet1k/n01580077/ILSVRC2012_val_00028440.JPEG,jay,"A blue jay perched on a branch, looking to the left. The bird has blue feathers on its head and back, white feathers on its belly, and a blue tail. The background is a mix of brown and beige, creating a natural setting. The mood is serene and peaceful."
/home/ImageNet1k/n02101388/ILSVRC2012_val_00015176.JPEG,Brittany spaniel,"A brown and white Brittany spaniel sits on a sidewalk, looking off to the side. The dog is alert and focused on something in the distance."
/home/ImageNet1k/n03775546/ILSVRC2012_val_00032973.JPEG,mixing bowl,A stack of colorful mixing bowls on a wooden table.
/home/ImageNet1k/n04456115/ILSVRC2012_val_00039596.JPEG,torch,"A group of people stand in a circle holding torches. They are wearing white, black, and red clothing. The scene is dark and moody."
/home/ImageNet1k/n03633091/ILSVRC2012_val_00041426.JPEG,ladle,"A ladle is placed on a table, with a red wall in the background."
/home/ImageNet1k/n01531178/ILSVRC2012_val_00004893.JPEG,"goldfinch, Carduelis carduelis","A goldfinch, Carduelis carduelis, perches on a rock."
/home/ImageNet1k/n01984695/ILSVRC2012_val_00008182.JPEG,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish","A pan of cooked spiny lobsters, langoustes, rock lobsters, crawfish, crayfish, and sea crawfish."
/home/ImageNet1k/n03602883/ILSVRC2012_val_00021285.JPEG,joystick,A black joystick with a red button sits on a wooden table.
/home/ImageNet1k/n04069434/ILSVRC2012_val_00032853.JPEG,reflex camera,A reflex camera with the lens facing the viewer. The camera is black and has the word Olympus on it. The screen displays a cloud-filled sky with a sun setting behind a mountain. The camera is set on a white background.
/home/ImageNet1k/n02794156/ILSVRC2012_val_00011803.JPEG,barometer,A close-up of a barometer with the word 'change' written on it. The needle points to the word 'change'. The background is a wooden table. The image has a warm and cozy mood.
